returns/VBZ	(root,1) (returns,1) (VBZ,1) 
related/VBN	(ads,1) (NNS,1) (VBN,2) (related,1) (root,1) (programmed,1) (deliver,1) (advcl,1) (acl,1) (VB,1) (dobj,1) 
unbeaten/NN	(NN,2) (root,1) (unbeaten,1) (urlLink,1) (dep,1) 
birthday/NN	(birthday,1) (NN,1) (root,1) (returns,1) (nsubj,1) (VBZ,1) 
held/VBN	(Google,1) (NNP,1) (VBN,1) (held,1) (root,1) (VB,1) (dobj,1) (amod,1) (prompt,1) 
long/JJ	(NN,2) (JJ,1) (entry,1) (nmod:in,1) (catalog,1) (root,1) (amod,1) (long,1) 
implements/VBZ	(NN,2) (implements,1) (acl:relcl,1) (brought,1) (VBN,1) (auxpass,1) (was,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (root,1) (VBD,1) (nsubj,1) 
victim/NN	(NN,1) (root,1) (end,1) (victim,1) (VB,1) (xcomp,1) 
cities/NNS	(NNS,1) (VBN,1) (nmod:in,1) (cities,1) (root,1) (planned,1) 
1992/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (1992,1) (root,1) (VBD,1) (nsubj,1) 
reading/VBG	(love,1) (conj:but,1) (VBP,1) (root,1) (have,1) (reading,1) (VBG,1) (VB,1) (xcomp,1) 
8/CD	(JJ,1) (CD,1) (able,1) (root,1) (8,1) (nmod:on,1) 
1989/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) (1989,1) 
e-mails/NNS	(VBN,2) (topics,1) (discussed,1) (acl,1) (VB,1) (NNS,2) (nmod:in,1) (root,1) (dissect,1) (programmed,1) (e-mails,1) (advcl,1) (dobj,1) 
For/IN	(NN,1) (instance,1) (IN,1) (root,1) (For,1) (VB,1) (nmod:for,1) (prompt,1) (case,1) 
spend/VB	(JJ,1) (similar,1) (root,1) (spend,1) (VB,1) (dep,1) 
earth/NN	(JJ,1) (NN,1) (nmod:between,1) (acl,1) (VB,1) (xcomp,1) (NNP,1) (see,1) (Venus,1) (able,1) (root,1) (earth,1) (VBG,1) (passing,1) (dobj,1) 
deserved/VBD	(root,1) (VBD,1) (deserved,1) 
previously/RB	(RB,1) (advmod,1) (previously,1) (root,1) (loads,1) (VBD,1) 
Griff/NNP	(NNP,1) (Griff,1) (root,1) (makes,1) (nsubj,1) (VBZ,1) 
crossword/NN	(NN,2) (crossword,1) (VBP,1) (nmod:of,1) (root,1) (do,1) (dobj,1) (version,1) 
us/PRP	(acl:relcl,1) (CD,1) (VBP,2) (parataxis,1) (Do,1) (no.,1) (VB,1) (dep,1) (Lift,1) (PRP,1) (NNP,1) (3,1) (root,1) (join,1) (nsubj,1) (dobj,1) (us,1) 
Hollywood/NNP	(NN,1) (Hollywood,1) (NNP,1) (NNS,1) (names,1) (nmod:of,1) (league,1) (root,1) (compound,1) 
vertigo/NN	(broken,1) (NN,1) (NNS,1) (VBN,1) (records,1) (vertigo,1) (root,1) (dobj,1) (compound,1) 
type/NN	(NN,1) (root,1) (type,1) 
Sheila/NNP	(NNP,3) (VBP,1) (Sheila,1) (Shakespeare,1) (root,1) (nsubj,1) (Macintyre,1) (compound,1) (urlLink,1) (appos,1) 
47/CD	(NN,2) (JJ,1) (CD,1) (week,1) (47,1) (storey,1) (amod,1) (compound,1) (dep,1) (VBZ,1) (root,1) (starts,1) (dobj,1) (tower,1) 
machines/NNS	(NNS,1) (root,1) (machines,1) (VB,1) (dobj,1) (make,1) 
ummm/NN	(NN,1) (root,1) (ummm,1) 
profile/NN	(NN,1) (root,1) (display,1) (profile,1) (chose,1) (VBD,1) (VB,1) (nmod:on,1) (xcomp,1) 
old/JJ	(NN,1) (JJ,1) (old,1) (root,1) (blog,1) (amod,1) 
pointlessly/RB	(JJ,1) (RB,1) (similar,1) (advmod,1) (root,1) (spend,1) (pointlessly,1) (VB,1) (dep,1) 
13/CD	(NN,1) (CD,1) (13,1) (%,1) (nummod,1) (root,1) (have,1) (VB,1) (nsubj,1) 
goal/NN	(NN,1) (NNS,1) (goal,1) (chances,1) (root,1) (creating,1) (VBG,1) (dobj,1) (compound,1) 
as/IN	(NN,1) (as,1) (IN,1) (part,1) (root,1) (case,1) 
Gold/NNP	(Pilot,1) (NNP,2) (nmod:from,1) (Gold,1) (NNS,1) (nmod:with,1) (root,1) (came,1) (VBD,1) (winnings,1) (compound,1) 
need/VBP	(JJ,1) (VBP,2) (aux,1) (need,1) (root,1) (safe,1) (have,1) (advcl,1) 
delivered/VBN	(took,1) (NNS,1) (VBN,1) (ccomp,1) (lost,1) (root,1) (VBD,2) (parataxis,1) (advcl,1) (delivered,1) (people,1) 
want/VBP	(JJ,1) (VBN,1) (VBP,3) (aux,1) (need,1) (root,1) (want,1) (safe,1) (have,1) (reduced,1) (advcl,2) (xcomp,1) 
until/IN	(NN,1) (RB,1) (advmod,1) (IN,1) (league,1) (root,1) (now,1) (until,1) (case,1) 
agency/NN	(NN,1) (include,1) (nmod:from,1) (agency,1) (root,1) (VB,2) (prompt,1) (xcomp,1) 
October/NNP	(acl:relcl,1) (NN,1) (CD,1) (named,1) (VBN,1) (VBP,1) (album,1) (no.,1) (dep,1) (nmod:from,1) (NNP,1) (2,1) (October,1) (nmod:tmod,1) (root,1) (VBD,1) (dobj,1) (released,1) 
safe/JJ	(JJ,1) (root,1) (safe,1) 
Went/VB	(ccomp,1) (IN,1) (root,1) (VB,1) (Went,1) (out,1) 
inventor/NN	(NN,2) (VBN,1) (ccomp,1) (Berners-Lee,1) (VBP,1) (root,1) (received,1) (inventor,1) (nsubj,1) (urlLink,1) (appos,1) 
Mate/NN	(NN,1) (Mate,1) (root,1) (chose,1) (VBD,1) (dobj,1) 
TB/NN	(JJ,1) (NN,1) (similar,1) (increased,1) (VBN,1) (root,1) (conj:and,1) (protect,1) (VB,1) (dobj,1) (xcomp,1) (TB,1) 
when/WRB	(advmod,1) (WRB,1) (root,1) (is,1) (when,1) (VBZ,1) 
quietly/RB	(JJ,1) (RB,1) (advmod,1) (ccomp,1) (convinced,1) (root,1) (VBD,1) (breeds,1) (quietly,1) 
majority/NN	(JJ,1) (NN,1) (transfer,1) (able,1) (root,1) (majority,1) (VB,1) (dobj,1) (xcomp,1) 
publish/VB	(NN,2) (allows,1) (acl:relcl,1) (software,1) (testing,1) (acl,1) (VB,1) (xcomp,1) (VBZ,1) (root,1) (publish,1) (VBG,1) (dobj,1) (urlLink,1) 
etc/FW	(FW,1) (NNS,2) (etc,1) (root,1) (machines,1) (VB,1) (dobj,1) (make,1) (anti-virus,1) (dep,1) (appos,1) 
scroll/VB	(JJ,1) (lazy,1) (root,1) (scroll,1) (advcl,1) (VB,2) (urlLink,1) (xcomp,1) 
names/NNS	(NN,1) (NNS,1) (names,1) (nmod:of,1) (league,1) (root,1) 
software/NN	(NN,2) (software,1) (root,1) (testing,1) (VBG,1) (acl,1) (dobj,1) (urlLink,1) 
August/NNP	(NNP,1) (VBN,1) (nmod:tmod,1) (VBP,1) (root,1) (registered,1) (google,1) (dep,1) (August,1) 
notation/NN	(NN,3) (implements,1) (acl:relcl,1) (brought,1) (VBN,1) (auxpass,1) (was,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (notation,1) (root,1) (VBD,1) (nsubj,1) (dobj,1) 
agree/VB	(JJ,1) (sure,1) (root,1) (advcl,1) (agree,1) (VB,1) 
linked/VBN	(VBN,1) (root,1) (linked,1) 
c-160/CD	(NN,1) (Bed,1) (CD,1) (VBN,1) (VBP,1) (nmod:with,1) (nummod,1) (Olympus,1) (c-160,1) (Time,1) (acl,1) (nmod:for,1) (NNP,2) (root,1) (taken,1) (nsubj,1) (urlLink,1) 
said/VBD	(NNS,1) (pages,1) (root,1) (have,1) (nmod:to,1) (VBD,1) (acl,1) (VB,1) (said,1) 
make/VBP	(VBP,1) (does,1) (root,1) (make,1) (dep,1) (VBZ,1) 
Blogger/NNP	(JJ,1) (Blogger,1) (NNP,1) (able,1) (root,1) (nsubj,1) 
League/NNP	(NNP,1) (League,1) (VBN,1) (root,1) (dobj,1) (re-titled,1) 
end/NN	(BUT,1) (JJ,1) (acl:relcl,1) (play,1) (NN,1) (VBP,1) (started,1) (agaisnt,1) (VB,1) (dep,1) (xcomp,1) (NNS,1) (nmod:towards,1) (ccomp,2) (nmod:in,1) (root,1) (won,1) (creating,1) (VBD,2) (VBG,1) (end,1) (conditions,1) 
part/NN	(NN,1) (part,1) (root,1) 
wrod/NN	(JJ,1) (itslef,1) (NN,2) (bcuseae,1) (ccomp,1) (nmod:but,1) (nmod:by,1) (root,1) (wrod,1) (raed,1) (VB,1) 
reward/NN	(reward,1) (NN,1) (went,1) (root,1) (get,1) (VBD,1) (VB,1) (dobj,1) (xcomp,1) 
these/DT	(these,1) (DT,1) (NNS,1) (det,1) (root,1) (things,1) (do,1) (VB,2) (dobj,1) (make,1) (xcomp,1) 
last/VB	(last,1) (root,1) (VB,1) 
syntax/NN	(NN,4) (implements,1) (acl:relcl,1) (brought,1) (VBN,1) (auxpass,1) (was,1) (compound,1) (VBZ,1) (overflow,1) (library,1) (nmod:in,1) (notation,1) (root,1) (VBD,1) (syntax,1) (nsubj,1) (dobj,1) 
lteter/NN	(JJ,1) (NN,1) (bcuseae,1) (ccomp,1) (root,1) (lteter,1) (raed,1) (VB,1) (dobj,1) 
?????/NNP	(NN,1) (England,1) (?????,1) (VB,1) (compound,1) (NNP,2) (NNS,1) (nmod:in,2) (root,1) (championship,1) (have,1) (returns,1) (dobj,1) 
Top/JJ	(JJ,1) (NNS,1) (Top,1) (root,1) (earners,1) (amod,1) 
dissect/VB	(VBN,1) (root,1) (dissect,1) (programmed,1) (advcl,1) (VB,1) 
regardless/RB	(JJ,1) (NN,1) (RB,1) (root,1) (safe,1) (nmod:regardless_of,1) (make,1) (regardless,1) (case,1) 
believe/VBP	(ccomp,1) (IN,1) (VBP,1) (root,1) (believe,1) (out,1) 
Shrek/NNP	(JJ,1) (Shrek,1) (NNP,1) (root,1) (nsubj,1) (great,1) 
pop-up/JJ	(NN,1) (JJ,1) (NNS,1) (root,1) (pop-up,1) (improvement,1) (windows,1) (nsubj,1) (amod,1) 
slow/JJ	(NN,2) (JJ,1) (slow,1) (VBP,1) (root,1) (replay,1) (nsubj,1) (nmod:for,1) (amod,1) (look,1) (nnnnice,1) 
wlohe/NN	(JJ,1) (itslef,1) (NN,3) (nmod:as,1) (nmod:by,1) (wrod,1) (wlohe,1) (VB,1) (bcuseae,1) (ccomp,1) (nmod:but,1) (root,1) (raed,1) 
Each/DT	(NN,1) (DT,1) (Each,1) (det,1) (root,1) (have,1) (VB,1) (nsubj,1) (user,1) 
net/NN	(JJ,1) (connected,1) (NN,1) (VBN,1) (responsible,1) (root,1) (nmod:to,1) (conj:and,1) (net,1) 
Garnett/NNP	(NNP,1) (Garnett,1) (root,1) 
celebs/NNS	(given,1) (NNS,1) (VBN,1) (root,1) (VBD,1) (nmod:to,1) (advcl,1) (deserved,1) (celebs,1) 
given/VBN	(given,1) (VBN,1) (root,1) (VBD,1) (advcl,1) (deserved,1) 
increased/VBN	(JJ,1) (similar,1) (increased,1) (VBN,1) (root,1) (conj:and,1) 
of/IN	(NN,1) (site,1) (IN,1) (root,1) (of,1) (case,1) 
broken/VBN	(broken,1) (VBN,1) (root,1) 
them/PRP	(root,1) (have,1) (them,1) (VB,1) (nmod:for,1) (PRP,1) 
duller/RBR	(NN,1) (?!,1) (RBR,1) (duller,1) (root,1) (VBD,1) (dobj,1) (amod,1) (got,1) 
windows/NNS	(NN,1) (NNS,1) (root,1) (improvement,1) (windows,1) (nsubj,1) 
storey/JJ	(NN,2) (JJ,1) (week,1) (root,1) (starts,1) (dobj,1) (storey,1) (amod,1) (dep,1) (VBZ,1) (tower,1) 
Britain/NNP	(NN,1) (acl:relcl,1) (NNP,1) (nmod:in,1) (caused,1) (root,1) (VBD,1) (Britain,1) (type,1) 
durable/JJ	(NN,1) (nmod:as,1) (JJ,1) (sold,1) (durable,1) (VBN,1) (root,1) (alternative,1) (amod,1) 
google/VBP	(VBP,1) (root,1) (google,1) 
upcoming/JJ	(NN,2) (JJ,1) (discussing,1) (another,1) (concert,1) (acl,1) (amod,1) (DT,1) (entry,1) (det,1) (root,1) (VBG,1) (dobj,1) (upcoming,1) 
father/NNP	(NNP,1) (root,1) (father,1) (has,1) (nsubj,1) (VBZ,1) 
convinced/JJ	(JJ,1) (convinced,1) (root,1) 
magazine/NN	(NN,1) (VBP,1) (get,1) (root,1) (magazine,1) (dobj,1) 
privately/RB	(RB,1) (Google,1) (NNP,1) (advmod,1) (VBN,1) (held,1) (root,1) (VB,1) (dobj,1) (amod,1) (prompt,1) (privately,1) 
panic/VB	(JJ,1) (NN,1) (acl:relcl,1) (esp,1) (VBP,1) (recommend,1) (parataxis,1) (VB,2) (great,1) (furb,1) (panic,1) (ccomp,1) (root,1) (dobj,1) 
The/DT	(NN,1) (The,1) (DT,1) (det,1) (Ecologist,1) (root,1) 
done/VBN	(VBN,1) (ccomp,1) (root,1) (chose,1) (VBD,1) (done,1) 
who/WP	(NN,1) (ref,1) (anyone,1) (root,1) (WP,1) (has,1) (dobj,1) (VBZ,1) (who,1) 
beat/VBD	(root,1) (beat,1) (VBD,1) 
poor/JJ	(JJ,2) (NN,1) (similar,1) (increased,1) (VBN,1) (conj:and,1) (VB,1) (amod,1) (xcomp,1) (TB,1) (poor,1) (root,1) (protect,1) (dobj,1) 
buffer/NN	(NN,2) (brought,1) (VBN,1) (overflow,1) (root,1) (auxpass,1) (was,1) (VBD,1) (buffer,1) (nsubj,1) (compound,1) 
1bn/CD	(CD,1) (nmod:with,1) (root,1) (VB,1) (1bn,1) (urlLink,1) 
subjects/NNS	(VBN,2) (subjects,1) (deliver,1) (acl,1) (VB,1) (ads,1) (NNS,2) (related,1) (root,1) (programmed,1) (nmod:to,1) (advcl,1) (dobj,1) 
Anyone/NN	(NN,1) (root,1) (VBD,1) (Anyone,1) (nsubj,1) (got,1) 
can/MD	(JJ,1) (can,1) (see,1) (aux,1) (able,1) (root,1) (MD,1) (VB,1) (xcomp,1) 
Buckingham/NNP	(NNP,2) (went,1) (Palace,1) (root,1) (VBD,1) (nmod:to,1) (Buckingham,1) (compound,1) 
no./VBP	(VBP,1) (root,1) (no.,1) 
poll/NN	(NN,1) (nmod:in,1) (root,1) (beat,1) (VBD,1) (poll,1) 
??/JJ	(wish,1) (??,1) (JJ,1) (ccomp,2) (VBP,1) (mean,1) (root,1) (VB,1) 
high/JJ	(NN,2) (JJ,1) (high,1) (week,1) (root,1) (starts,1) (dobj,1) (amod,1) (dep,1) (VBZ,1) (tower,1) 
version/NN	(NN,1) (VBP,1) (root,1) (do,1) (dobj,1) (version,1) 
men/NNS	(BUT,1) (JJ,1) (VBP,1) (agaisnt,1) (dep,2) (NNS,1) (ccomp,2) (root,1) (won,1) (men,1) (creating,1) (VBD,1) (VBG,1) 
1919/NNS	(NN,1) (acl:relcl,1) (rain,1) (Years,1) (nmod:into,1) (1919,1) (2000,1) (compound,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,4) (month,1) (root,1) (VBD,1) (nsubj,1) 
about/IN	(IN,1) (root,1) (have,1) (about,1) (it,1) (nsubj:xsubj,1) (VB,1) (case,1) (PRP,1) 
feel/VB	(acl:relcl,1) (CD,1) (VBP,2) (feel,1) (parataxis,1) (Do,1) (no.,1) (VB,2) (dep,2) (Lift,1) (NNP,1) (3,1) (root,1) (join,1) (nsubj,1) 
year/NN	(NN,1) (VBN,1) (ccomp,1) (nmod:tmod,1) (year,1) (root,1) (chose,1) (VBD,1) (done,1) 
little/JJ	(NN,1) (JJ,1) (VBP,1) (root,1) (Trackword,1) (do,1) (dobj,1) (amod,1) (little,1) 
be/VB	(JJ,1) (be,1) (root,1) (safe,1) (VB,1) (dep,1) 
Polozii/NNP	(NN,1) (NNP,1) (root,1) (Polozii,1) (urlLink,1) (dep,1) 
answer/VB	(NN,1) (answer,1) (root,1) (VB,1) (urlLink,1) (dep,1) 
what/WDT	(NN,1) (shame,1) (what,1) (arrhhh,1) (WDT,1) (root,1) (have,1) (VB,2) (nsubj,1) (dep,1) (xcomp,1) 
narrow/JJ	(NN,1) (JJ,1) (VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (narrow,1) (dobj,1) (amod,1) (escape,1) (linked,1) 
their/PRP$	(NN,1) (PRP$,1) (nmod:poss,1) (nmod:about,1) (root,1) (their,1) (say,1) (place,1) (VB,1) 
nations/NNS	(NN,1) (side,1) (NNS,1) (mean,1) (root,1) (nations,1) (VB,1) (nmod:for,1) (nmod:on,1) 
protect/VB	(JJ,1) (similar,1) (increased,1) (VBN,1) (root,1) (conj:and,1) (protect,1) (VB,1) (xcomp,1) 
firewall/FW	(VB,1) (compound,1) (dep,1) (appos,1) (FW,2) (NNS,2) (etc,1) (firewall,1) (root,1) (machines,1) (dobj,1) (make,1) (anti-virus,1) 
plus/JJ	(NN,1) (JJ,1) (side,1) (mean,1) (root,1) (VB,1) (amod,1) (nmod:on,1) (plus,1) 
This/DT	(NN,1) (DT,1) (root,1) (This,1) (type,1) (nsubj,1) 
writers/NNS	(JJ,1) (targeting,1) (NNS,1) (be,1) (ccomp,1) (root,1) (safe,1) (VBG,1) (writers,1) (VB,1) (nsubj,1) (dep,1) 
able/JJ	(JJ,1) (able,1) (root,1) 
honours/NNS	(given,1) (NNS,1) (VBN,1) (nsubjpass,1) (root,1) (VBD,1) (advcl,1) (honours,1) (deserved,1) 
yes/UH	(UH,2) (yes,1) (root,1) (won,1) (Well,1) (creating,1) (VBD,1) (VBG,1) (dep,2) (discourse,1) 
!!/VBZ	(!!,1) (root,1) (beat,1) (VBD,1) (parataxis,1) (VBZ,1) 
security/NN	(JJ,1) (NN,1) (similar,1) (security,1) (increased,1) (VBN,1) (nsubjpass,1) (root,1) (conj:and,1) 
Tony/NNP	(Tony,1) (NNP,1) (NNS,1) (blogs,1) (root,1) (nmod:via,1) (have,1) (VB,1) (dobj,1) 
Olympus/NNP	(NN,1) (Bed,1) (VBN,1) (VBP,1) (nmod:with,1) (Olympus,1) (Time,1) (acl,1) (nmod:for,1) (NNP,2) (root,1) (taken,1) (nsubj,1) (urlLink,1) 
well/RB	(JJ,1) (RB,1) (advmod,1) (root,1) (pleased,1) (well,1) 
web/NN	(NN,1) (NNP,1) (web,1) (nmod:of,1) (root,1) (father,1) (has,1) (nsubj,1) (VBZ,1) 
ageing/VBG	(NN,3) (acl:relcl,1) (CD,1) (ageing,1) (nmod:of,1) (amod,1) (VBZ,2) (anyone,1) (root,1) (opens,1) (VBG,1) (has,1) (dobj,2) (case,1) 
cello/NN	(NN,1) (VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (nsubj,1) (linked,1) (cello,1) 
1972/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (1972,1) (root,1) (VBD,1) (nsubj,1) 
pictures/NNS	(NN,1) (most,1) (nmod:as,1) (JJS,1) (NNS,1) (nmod:of,1) (root,1) (blog,1) (pictures,1) 
if/IN	(JJ,1) (sure,1) (IN,1) (root,1) (advcl,1) (agree,1) (VB,1) (if,1) (mark,1) 
telescope/NN	(NN,3) (VBP,1) (nmod:with,1) (root,1) (camera,1) (telescope,1) (device,1) (compound,2) (observe,1) 
creating/VBG	(root,1) (creating,1) (VBG,1) 
colour/NN	(JJ,1) (NN,2) (acl:relcl,1) (esp,1) (VBP,1) (recommend,1) (parataxis,1) (nmod:'s,1) (VB,2) (great,1) (furb,1) (panic,1) (colour,1) (ccomp,1) (root,1) (dobj,1) 
1925/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (root,1) (VBD,1) (nsubj,1) (1925,1) 
Just/RB	(RB,1) (advmod,1) (read,1) (root,1) (VB,1) (Just,1) 
those/DT	(JJ,1) (all,1) (DT,2) (NNS,1) (det,1) (teams,1) (nmod:of,1) (root,1) (nmod:for,1) (great,1) (those,1) 
Anfield/NNP	(NN,1) (NNP,1) (brought,1) (VBN,2) (Anfield,1) (root,1) (pledged,1) (club,1) (nmod:to,1) (conj:and,1) (compound,1) 
even/RB	(RB,1) (advmod,1) (VBP,1) (even,1) (root,1) (do,1) 
issues/NNS	(CD,1) (NNS,1) (nmod:of,1) (one,1) (root,1) (issues,1) 
telling/VBG	(NN,1) (telling,1) (VBN,1) (ccomp,2) (top,1) (csubj,1) (root,1) (is,1) (VBG,1) (misunderstood,1) (VBZ,1) 
connected/VBN	(JJ,1) (connected,1) (VBN,1) (responsible,1) (root,1) (conj:and,1) 
records/NNS	(broken,1) (NNS,1) (VBN,1) (records,1) (root,1) (dobj,1) 
picture/NN	(NN,1) (VBN,1) (Born,1) (root,1) (dobj,1) (picture,1) 
visitors/NNS	(JJ,1) (VBN,1) (VBP,3) (aux,1) (need,1) (want,1) (reduced,1) (xcomp,1) (visitors,1) (NNS,1) (root,1) (safe,1) (have,1) (advcl,2) (dobj,1) 
June/NNP	(JJ,1) (CD,1) (June,1) (NNP,1) (able,1) (root,1) (8,1) (nmod:on,1) (dep,1) 
between/IN	(IN,1) (root,1) (have,1) (them,1) (VB,1) (nmod:for,1) (between,1) (case,1) (PRP,1) 
happened/VBD	(JJ,1) (sure,1) (root,1) (VBD,1) (happened,1) (dep,1) 
love/VBP	(love,1) (conj:but,1) (VBP,1) (root,1) (have,1) (VB,1) 
UK/NNP	(JJ,1) (connected,1) (NNP,1) (VBN,1) (UK,1) (responsible,1) (root,1) (nmod:to,1) (conj:and,1) 
opinion/NN	(NN,1) (root,1) (musings,1) (nsubj,1) (VBZ,1) (opinion,1) 
my/PRP$	(PRP$,1) (ccomp,1) (VBP,1) (root,1) (my,1) (urlLink,1) 
1/CD	(1,1) (CD,1) (NNS,1) (root,1) (earners,1) (dep,1) 
Stradivarius/JJ	(NN,1) (JJ,1) (VBN,1) (aux,1) (root,1) (VBD,1) (had,1) (nsubj,1) (amod,1) (Stradivarius,1) (linked,1) (cello,1) 
1982/CD	(NN,1) (acl:relcl,1) (rain,1) (CD,1) (Years,1) (nmod:into,1) (nummod,1) (2000,1) (years,1) (appos,1) (extended,1) (nmod:without,1) (NNP,1) (NNS,3) (month,1) (1982,1) (root,1) (VBD,1) (nsubj,1) 
rebel/NN	(NN,2) (acl:relcl,1) (rebel,1) (ccomp,1) (part,1) (root,1) (wishes,1) (VBZ,1) 
started/VBN	(NN,1) (acl:relcl,1) (VBN,1) (root,1) (started,1) (urlLink,1) 
shock/NN	(!!,1) (NN,2) (horror,1) (root,1) (shock,1) (beat,1) (VBD,1) (parataxis,1) (nsubj,1) (compound,1) (VBZ,1) 
started/VBD	(BUT,1) (JJ,1) (acl:relcl,1) (VBP,1) (started,1) (agaisnt,1) (dep,1) (NNS,1) (ccomp,2) (nmod:in,1) (root,1) (won,1) (creating,1) (VBD,2) (VBG,1) (conditions,1) 
Larry/NNP	(NNP,2) (NNS,1) (root,1) (have,1) (Larry,1) (Page,1) (founders,1) (VB,1) (nsubj,1) (compound,1) (appos,1) 
&/CC	(CC,1) (cc,1) (brought,1) (VBN,1) (&,1) (root,1) (nmod:to,1) (you,1) (PRP,1) 
rebranding/NN	(NN,2) (nmod:of,1) (part,1) (root,1) (rebranding,1) 
its/PRP$	(NNS,1) (VBN,1) (PRP$,1) (nmod:poss,1) (root,1) (programmed,1) (its,1) (dobj,1) (computers,1) 
movie/NN	(NN,1) (CD,1) (VBN,1) (ccomp,1) (movie,1) (root,1) (paid,1) (nmod:per,1) (is,1) (25m,1) (dobj,1) (VBZ,1) 
sent/VBN	(JJ,1) (sure,1) (VBN,1) (root,1) (VBD,1) (advcl,1) (sent,1) (happened,1) (dep,1) 
Arsenal/NNP	(NN,1) (NNP,1) (root,1) (Arsenal,1) (nmod:to,1) (something,1) 
'd/VBD	(NN,2) (acl:relcl,1) (rebel,1) (ccomp,1) (aux,1) (part,1) (root,1) (VBD,1) (wishes,1) ('d,1) (VBZ,1) 
If/IN	(VBP,1) (like,1) (IN,1) (root,1) (advcl,1) (VB,1) (If,1) (account,1) (mark,1) 
British/JJ	(NN,2) (JJ,1) (British,1) (VBN,1) (VBP,1) (received,1) (amod,1) (appos,1) (ccomp,1) (Berners-Lee,1) (root,1) (inventor,1) (nsubj,1) (urlLink,1) 
high-rise/JJ	(NN,1) (JJ,1) (VBN,1) (living,1) (cities,1) (nation,1) (high-rise,1) (nmod:across,1) (planned,1) (dep,1) (xcomp,1) (NNS,1) (nmod:in,1) (root,1) (VBG,1) 
shame/NN	(NN,1) (shame,1) (arrhhh,1) (root,1) (have,1) (VB,2) (dep,1) (xcomp,1) 
join/VB	(acl:relcl,1) (CD,1) (VBP,2) (parataxis,1) (Do,1) (no.,1) (VB,1) (dep,1) (Lift,1) (NNP,1) (3,1) (root,1) (join,1) (nsubj,1) 
conditions/NNS	(BUT,1) (JJ,1) (VBP,1) (agaisnt,1) (dep,1) (NNS,1) (ccomp,2) (nmod:in,1) (root,1) (won,1) (creating,1) (VBD,1) (VBG,1) (conditions,1) 
publicity/NN	(JJ,1) (NN,1) (be,1) (VB,2) (dep,1) (gain,1) (targeting,1) (ccomp,1) (root,1) (safe,1) (VBG,1) (advcl,1) (publicity,1) (dobj,1) 
cash/NN	(JJ,1) (NN,1) (similar,1) (root,1) (spend,1) (VB,1) (dobj,1) (cash,1) (dep,1) 
hours/NNS	(hours,1) (NNS,1) (last,1) (root,1) (VB,1) (dobj,1) 
transfer/VB	(JJ,1) (transfer,1) (able,1) (root,1) (VB,1) (xcomp,1) 
links/NNS	(NN,1) (NNS,2) (root,1) (links,1) (improvement,1) (windows,1) (nsubj,1) (nmod:for,1) 
gain/VB	(JJ,1) (targeting,1) (be,1) (ccomp,1) (root,1) (safe,1) (VBG,1) (advcl,1) (VB,2) (dep,1) (gain,1) 
hint/NNP	(CD,1) (VBP,2) (parataxis,1) (Do,1) (no.,1) (compound,1) (dep,1) (Lift,1) (NNP,2) (3,1) (root,1) (hint,1) (nsubj,1) 
registered/VBN	(VBN,1) (VBP,1) (root,1) (registered,1) (google,1) (dep,1) 
well/NN	(NN,1) (root,1) (VBD,1) (well,1) (deserved,1) (nsubj,1) 
surprise/NN	(NN,1) (sold,1) (surprise,1) (VBN,1) (root,1) (parataxis,1) 
Movies/NNS	(acl:relcl,1) (NN,1) (CD,1) (named,1) (VBP,1) (Making,1) (album,1) (acl,1) (no.,1) (nmod:from,1) (2,1) (NNS,1) (root,1) (VBD,1) (VBG,1) (Movies,1) (dobj,2) 
air/NN	(acl:relcl,1) (NN,1) (CD,1) (VBP,2) (feel,1) (parataxis,1) (Do,1) (air,1) (no.,1) (VB,2) (dep,2) (Lift,1) (NNP,1) (3,1) (nmod:in,1) (root,1) (join,1) (nsubj,1) 
offer/VBP	(offer,1) (acl:relcl,1) (NNS,1) (JJR,1) (VBP,1) (more,1) (root,1) (amod,1) (people,1) 
Hello/JJ	(NN,2) (JJ,1) (software,1) (Hello,1) (root,1) (testing,1) (VBG,1) (acl,1) (dobj,1) (amod,1) (urlLink,1) 
